FID,Ag,AL2O3,As,Au,B,Ba,Be,Bi,CaO,Cd,Co,Cr,Cu,F,Fe2O3,Hg,K2O,La,Li,Na,Nb,Ni,Mg,Mn,Mo,Pb,P2O3,Sb,Sn,Sr,Th,Ti,U,V,W,Y,Zn,Zr,Ore,Longitude,Latitude
1,66.0,10.2,19.2,1.55,50.5,220.0,1.2,0.34,0.54,188.0,10.1,54.0,25.0,465.0,4.0,145.0,1.21,27.5,32.1,0.096,16.5,22.0,0.66,476.0,0.66,20.1,275.0,3.8,4.0,37.4,10.3,4475.0,2.35,64.0,2.1,27.0,58.0,421.0,0,19571517.078447,2828652.350076
2,66.35,10.26,19.32,1.56,50.95,221.6,1.22,0.35,0.55,188.8,10.2,54.55,25.22,467.8,4.03,145.18,1.22,27.7,32.18,0.0963,16.75,22.18,0.664,478.7,0.68,20.27,276.9,3.86,4.22,37.51,10.35,4489.0,2.38,64.6,2.22,27.015,58.85,421.95,0,19572517.078447,2828772.350076
3,66.7,10.32,19.44,1.57,51.4,223.2,1.24,0.36,0.56,189.6,10.3,55.1,25.44,470.6,4.06,145.36,1.23,27.9,32.26,0.0966,17.0,22.36,0.668,481.4,0.7,20.44,278.8,3.92,4.44,37.62,10.4,4503.0,2.41,65.2,2.34,27.03,59.7,422.9,0,19573517.078447,2828892.350076
4,67.05,10.38,19.56,1.58,51.85,224.8,1.26,0.37,0.57,190.4,10.4,55.65,25.66,473.4,4.09,145.54,1.24,28.1,32.34,0.0969,17.25,22.54,0.672,484.1,0.72,20.61,280.7,3.98,4.66,37.73,10.45,4517.0,2.44,65.8,2.46,27.045,60.55,423.85,0,19574517.078447,2829012.350076
5,67.4,10.44,19.68,1.59,52.3,226.4,1.28,0.38,0.58,191.2,10.5,56.2,25.88,476.2,4.12,145.72,1.25,28.3,32.42,0.0972,17.5,22.72,0.676,486.8,0.74,20.78,282.6,4.04,4.88,37.84,10.5,4531.0,2.47,66.4,2.58,27.06,61.4,424.8,0,19575517.078447,2829132.350076
6,98.2375,10.5,28.71,2.32,52.75,228.0,1.885,0.5655,0.59,278.4,10.6,56.75,37.845,694.55,4.15,211.555,1.26,28.5,32.5,0.0975,17.75,22.9,0.68,489.5,1.102,20.95,284.5,5.945,7.395,37.95,10.55,4545.0,3.625,67.0,3.915,27.075,90.2625,425.75,1,19576517.078447,2829252.350076
7,98.745,10.56,28.884,2.3345,53.2,229.6,1.914,0.58,0.6,279.56,10.7,57.3,38.164,698.61,4.18,211.816,1.27,28.7,32.58,0.0978,18.0,23.08,0.684,492.2,1.131,21.12,286.4,6.032,7.714,38.06,10.6,4559.0,3.6685,67.6,4.089,27.09,91.495,426.7,1,19577517.078447,2829372.350076
8,99.2525,10.62,29.058,2.349,53.65,231.2,1.943,0.5945,0.61,280.72,10.8,57.85,38.483,702.67,4.21,212.077,1.28,28.9,32.66,0.0981,18.25,23.26,0.688,494.9,1.16,21.29,288.3,6.119,8.033,38.17,10.65,4573.0,3.712,68.2,4.263,27.105,92.7275,427.65,1,19578517.078447,2829492.350076
9,99.76,10.68,29.232,2.3635,54.1,232.8,1.972,0.609,0.62,281.88,10.9,58.4,38.802,706.73,4.24,212.338,1.29,29.1,32.74,0.0984,18.5,23.44,0.692,497.6,1.189,21.46,290.2,6.206,8.352,38.28,10.7,4587.0,3.7555,68.8,4.437,27.12,93.96,428.6,1,19579517.078447,2829612.350076
10,100.2675,10.74,29.406,2.378,54.55,234.4,2.001,0.6235,0.63,283.04,11.0,58.95,39.121,710.79,4.27,212.599,1.3,29.3,32.82,0.0987,18.75,23.62,0.696,500.3,1.218,21.63,292.1,6.293,8.671,38.39,10.75,4601.0,3.799,69.4,4.611,27.135,95.1925,429.55,1,19580517.078447,2829732.350076
11,69.5,10.8,20.4,1.65,55.0,236.0,1.4,0.44,0.64,196.0,11.1,59.5,27.2,493.0,4.3,146.8,1.31,29.5,32.9,0.099,19.0,23.8,0.7,503.0,0.86,21.8,294.0,4.4,6.2,38.5,10.8,4615.0,2.65,70.0,3.3,27.15,66.5,430.5,0,19581517.078447,2829852.350076
12,69.85,10.86,20.52,1.66,55.45,237.6,1.42,0.45,0.65,196.8,11.2,60.05,27.42,495.8,4.33,146.98,1.32,29.7,32.98,0.0993,19.25,23.98,0.704,505.7,0.88,21.97,295.9,4.46,6.42,38.61,10.85,4629.0,2.68,70.6,3.42,27.165,67.35,431.45,0,19582517.078447,2829972.350076
13,70.2,10.92,20.64,1.67,55.9,239.2,1.44,0.46,0.66,197.6,11.3,60.6,27.64,498.6,4.36,147.16,1.33,29.9,33.06,0.0996,19.5,24.16,0.708,508.4,0.9,22.14,297.8,4.52,6.64,38.72,10.9,4643.0,2.71,71.2,3.54,27.18,68.2,432.4,0,19583517.078447,2830092.350076
14,70.55,10.98,20.76,1.68,56.35,240.8,1.46,0.47,0.67,198.4,11.4,61.15,27.86,501.4,4.39,147.34,1.34,30.1,33.14,0.0999,19.75,24.34,0.712,511.1,0.92,22.31,299.7,4.58,6.86,38.83,10.95,4657.0,2.74,71.8,3.66,27.195,69.05,433.35,0,19584517.078447,2830212.350076
15,102.805,11.04,30.276,2.4505,56.8,242.4,2.146,0.696,0.68,288.84,11.5,61.7,40.716,731.09,4.42,213.904,1.35,30.3,33.22,0.1002,20.0,24.52,0.716,513.8,1.363,22.48,301.6,6.728,10.266,38.94,11.0,4671.0,4.0165,72.4,5.481,27.21,101.355,434.3,1,19585517.078447,2830332.350076
16,103.3125,11.1,30.45,2.465,57.25,244.0,2.175,0.7105,0.69,290.0,11.6,62.25,41.035,735.15,4.45,214.165,1.36,30.5,33.3,0.1005,20.25,24.7,0.72,516.5,1.392,22.65,303.5,6.815,10.585,39.05,11.05,4685.0,4.06,73.0,5.655,27.225,102.5875,435.25,1,19586517.078447,2830452.350076
17,103.82,11.16,30.624,2.4795,57.7,245.6,2.204,0.725,0.7,291.16,11.7,62.8,41.354,739.21,4.48,214.426,1.37,30.7,33.38,0.1008,20.5,24.88,0.724,519.2,1.421,22.82,305.4,6.902,10.904,39.16,11.1,4699.0,4.1035,73.6,5.829,27.24,103.82,436.2,1,19587517.078447,2830572.350076
18,71.95,11.22,21.24,1.72,58.15,247.2,1.54,0.51,0.71,201.6,11.8,63.35,28.74,512.6,4.51,148.06,1.38,30.9,33.46,0.1011,20.75,25.06,0.728,521.9,1.0,22.99,307.3,4.82,7.74,39.27,11.15,4713.0,2.86,74.2,4.14,27.255,72.45,437.15,0,19588517.078447,2830692.350076
19,72.3,11.28,21.36,1.73,58.6,248.8,1.56,0.52,0.72,202.4,11.9,63.9,28.96,515.4,4.54,148.24,1.39,31.1,33.54,0.1014,21.0,25.24,0.732,524.6,1.02,23.16,309.2,4.88,7.96,39.38,11.2,4727.0,2.89,74.8,4.26,27.27,73.3,438.1,0,19589517.078447,2830812.350076
20,105.3425,11.34,31.146,2.523,59.05,250.4,2.291,0.7685,0.73,294.64,12.0,64.45,42.311,751.39,4.57,215.209,1.4,31.3,33.62,0.1017,21.25,25.42,0.736,527.3,1.508,23.33,311.1,7.163,11.861,39.49,11.25,4741.0,4.234,75.4,6.351,27.285,107.5175,439.05,1,19590517.078447,2830932.350076
